"Category","Path","Filter","MipMaps","EffCompression","EffFormat","AndroidOverride","Issues"
"Character","Assets/_Project/Art/Resources/CharacterPortraits/portraitmorgan.png","1","1","1","-1","0","Filter=1(!=Point); MipMaps=ON; Compression=1(!=None)"
"Character","Assets/_Project/Art/Resources/CharacterPortraits/portraitphilantrope.png","1","1","1","-1","0","Filter=1(!=Point); MipMaps=ON; Compression=1(!=None)"
"Character","Assets/_Project/Art/Resources/CharacterPortraits/portraitpusamair.png","1","1","1","-1","0","Filter=1(!=Point); MipMaps=ON; Compression=1(!=None)"
"Character","Assets/_Project/Art/Resources/CharacterPortraits/portraitrevvie.png","1","1","1","-1","0","Filter=1(!=Point); MipMaps=ON; Compression=1(!=None)"
"Character","Assets/_Project/Art/Resources/CharacterPortraits/portraitribulle.png","1","1","1","-1","0","Filter=1(!=Point); MipMaps=ON; Compression=1(!=None)"
"Character","Assets/_Project/Art/Resources/CharacterPortraits/portraitronss.png","1","1","1","-1","0","Filter=1(!=Point); MipMaps=ON; Compression=1(!=None)"
"Character","Assets/_Project/Art/Resources/CharacterPortraits/portraitshado.png","1","1","1","-1","0","Filter=1(!=Point); MipMaps=ON; Compression=1(!=None)"
"Character","Assets/_Project/Art/Resources/CharacterPortraits/portraitspenda.png","1","1","1","-1","0","Filter=1(!=Point); MipMaps=ON; Compression=1(!=None)"
"Character","Assets/_Project/Art/Resources/CharacterPortraits/portraitzoneur.png","1","1","1","-1","0","Filter=1(!=Point); MipMaps=ON; Compression=1(!=None)"
"Character","Assets/_Project/Data/Characters/LR/Goat/placeholder2.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"Character","Assets/_Project/Data/Characters/SSR/Don Docosta/Placeholder4.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"Character","Assets/_Project/Sprites/Characters/unknown.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"Hub","Assets/_Project/Sprites/Hub/HubInvocation/lucky_cat_sheet.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"Hub","Assets/_Project/Sprites/Hub/Parallax/mockup.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"Hub","Assets/_Project/Sprites/Hub/team_background.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Âme du Flipper.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Attaque.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Bouclier à piques.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Boule de Feu.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Caméléon.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Canne de Billard.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Carnage.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Chaîne de Résonance.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Chance.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Chevelure Jaune.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Contrat de Fuite.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Critique.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Défense.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Dernier Debout.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Dernier Souffle.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Difficulté.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Discipline.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Épée de l'Ancien Roi.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Équilibre.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Faux de la Mort.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Fortune.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Frénésie.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Grosse Gatling.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Kevlar.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Lanceur de Toile.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/LaunchForce.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Masse Lourde.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Miroir Brisé.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Morceau d'étoile.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Pacte de Sang.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Patte de Lapin.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Petite Bière.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Porte monnaie.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Poudre noirs vrai.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Pourdre noir.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Rebond.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Renvoi.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Sniper.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Ticket Offert.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Vitalité.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Vitesse.png","0","0","1","4","1","Compression=1(!=None)"
"Icons","Assets/_Project/Sprites/Icon valise & item/Vol de Vie.png","0","0","1","4","1","Compression=1(!=None)"
"Other","Assets/_Project/Art/Effects/beam_light.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"Other","Assets/_Project/Art/Effects/dust_mote.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"Other","Assets/_Project/Sprites/Placeholders/card_rounded.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"Other","Assets/_Project/Sprites/Placeholders/menu_burger.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"Other","Assets/_Project/Sprites/Placeholders/tals_coin.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"OtherArt","Assets/_Project/Art/FX/fx_card_bloom.png","1","0","0","-1","0","Filter=1(!=Point)"
"OtherArt","Assets/_Project/Art/FX/fx_mote.png","1","0","0","-1","0","Filter=1(!=Point)"
"OtherArt","Assets/_Project/Art/FX/fx_radial_glow.png","1","0","0","-1","0","Filter=1(!=Point)"
"OtherArt","Assets/_Project/Art/FX/fx_rays.png","1","0","0","-1","0","Filter=1(!=Point)"
"OtherArt","Assets/_Project/Sprites/Arene/Arene 1/glow_torche 1.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"OtherArt","Assets/_Project/Sprites/Arene/Arene 1/vignette_arene.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"OtherArt","Assets/_Project/Sprites/Gasha/flipbook_gacha_door.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"UI","Assets/_Project/Art/UI/Generated/icon_next.png","1","0","0","4","0","Filter=1(!=Point)"
"UI","Assets/_Project/Art/UI/Generated/icon_pause.png","1","0","0","4","0","Filter=1(!=Point)"
"UI","Assets/_Project/Art/UI/Generated/icon_play.png","1","0","0","4","0","Filter=1(!=Point)"
"UI","Assets/_Project/Art/UI/Generated/icon_prev.png","1","0","0","4","0","Filter=1(!=Point)"
"UI","Assets/_Project/Art/UI/Generated/RoundedRect_L.png","1","0","0","4","0","Filter=1(!=Point)"
"UI","Assets/_Project/Art/UI/Generated/RoundedRect_M.png","1","0","0","4","0","Filter=1(!=Point)"
"UI","Assets/_Project/Art/UI/Generated/RoundedRect_S.png","1","0","0","4","0","Filter=1(!=Point)"
"UI","Assets/_Project/Art/UI/SuperLancer/ring_arc.png","1","0","0","-1","0","Filter=1(!=Point)"
"UI","Assets/_Project/Art/UI/SuperLancer/ring_marker.png","1","0","0","-1","0","Filter=1(!=Point)"
"UI","Assets/_Project/Art/UI/SuperLancer/ring_track.png","1","0","0","-1","0","Filter=1(!=Point)"
"UI","Assets/_Project/Art/UI/ui_white_pixel.png","0","0","1","4","0","Compression=1(!=None)"
"UI","Assets/_Project/Sprites/UI/UI - attack up.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"UI","Assets/_Project/Sprites/UI/UI - burned.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"UI","Assets/_Project/Sprites/UI/UI - button pressed.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"UI","Assets/_Project/Sprites/UI/UI - buttons disabled.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"UI","Assets/_Project/Sprites/UI/UI - buttons normal.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"UI","Assets/_Project/Sprites/UI/UI - buttons pressed.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"UI","Assets/_Project/Sprites/UI/UI - collection.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"UI","Assets/_Project/Sprites/UI/UI - defense up.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"UI","Assets/_Project/Sprites/UI/UI - dialogue box text sample.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"UI","Assets/_Project/Sprites/UI/UI - dialogue boxx.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"UI","Assets/_Project/Sprites/UI/UI - frozen.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"UI","Assets/_Project/Sprites/UI/UI - header.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"UI","Assets/_Project/Sprites/UI/UI - health.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"UI","Assets/_Project/Sprites/UI/UI - info frame.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"UI","Assets/_Project/Sprites/UI/UI - New button disabled.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"UI","Assets/_Project/Sprites/UI/UI - New button idle.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"UI","Assets/_Project/Sprites/UI/UI - New button pressed.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"UI","Assets/_Project/Sprites/UI/UI - padlock.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"UI","Assets/_Project/Sprites/UI/UI - poison.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"UI","Assets/_Project/Sprites/UI/UI - shield.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"UI","Assets/_Project/Sprites/UI/UI - ui separator.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
"UI","Assets/_Project/Sprites/UI/UI 0 badge.png","1","0","1","-1","0","Filter=1(!=Point); Compression=1(!=None)"
